citation_key,claim_role,section,risk_if_miscited,positioning_check
Zdrazil2023,Data source for benchmark,"1;2;3.2",LOW,"ChEMBL is the data source; correctly positioned"
Hussain2010,MMP extraction method,"1;2;3.2",LOW,"Methodology reference; correctly positioned"
Griffen2011,MMP medicinal chemistry context,"1;2;3.2",LOW,"Background methodology; correctly positioned"
Patani1996,Historical bioisosterism concept,2,LOW,"Classic background; correctly positioned"
Wirth2012,Database-driven tool comparison,2,LOW,"SwissBioisostere is a database tool; correctly positioned"
Polishchuk2020,Context-aware replacement tool,2,LOW,"CReM is a generation framework; correctly positioned"
Huang2025,Database-driven platform comparison,"2;5.5",MEDIUM,"Positioned as resource/platform, not learning baseline"
Ertl2020,Descriptor-based neural network baseline,2,LOW,"Peer-reviewed learning method; correctly positioned"
Kim2025,Generative approach comparison,"2;5.5",MEDIUM,"Preprint; positioned as generative contrast, not closed-vocabulary ranking baseline"
Masunaga2026,GNN learning method comparison,"2;5.5",MEDIUM,"Positioned as whole-molecule/GNN context, not same-task direct comparison"
Dwork2001,Borda count background,2,LOW,"Classic method reference; correctly positioned"
Cormack2009,RRF alternative,2,LOW,"Alternative fusion method reference; correctly positioned"
Baell2010,PAINS alerts,"2;3.2;3.7",LOW,"Computational filter; correctly positioned"
Brenk2008,Brenk alerts,"2;3.2;3.7",LOW,"Computational filter; correctly positioned"
Helmke2025,Off-target risk evidence,"2;3.7;5.4",HIGH,"Generic risk support only; no unsupported specific numeric claims"
Geirhos2020,Shortcut learning interpretation,"3.5;5.3",LOW,"Mechanistic framework; correctly positioned"
Pedregosa2011,Software implementation,3.4,LOW,"scikit-learn reference; correctly positioned"
Landrum2026,Software implementation,3.4,LOW,"RDKit reference for molecular descriptors; correctly positioned"
