feature,verdict,note,dtype
_tanimoto_similarity,SAFE_DEPLOYABLE,Morgan Tanimoto to nearest TRAIN old_fragment,float64
a4c_tier_if_available_diagnostic_only,SUSPICIOUS_NEEDS_PROVENANCE,"diagnostic tier, source unclear — DO NOT USE",float64
attachment_frequency,SAFE_DEPLOYABLE,train frequency of this attachment,float64
attachment_signature,SAFE_DEPLOYABLE,"attachment signature, context feature",object
backoff_logit_rank,SAFE_DEPLOYABLE,rank of backoff_logit_score within query,float64
backoff_logit_score,SAFE_DEPLOYABLE,"cascade backoff: tP4->P3->P1, train-only stats",float64
backoff_smoothed_rate,SAFE_DEPLOYABLE,"backoff smoothed rate, train stats",float64
backoff_support,SAFE_DEPLOYABLE,"backoff support count, train-only",float64
blend_rank,SAFE_DEPLOYABLE,rank of blend_score within query,int64
blend_score,SAFE_DEPLOYABLE,"z-score blend: 0.95*z(MLP)+0.05*z(HGB), model outputs",float64
candidate_heavy_atoms,SAFE_DEPLOYABLE,candidate heavy atom count,float64
candidate_hetero_count,METADATA,redundant,float64
candidate_id,METADATA,candidate identifier,int64
candidate_in_Borda_top10,SAFE_DEPLOYABLE,rank_Borda <= 10,int64
candidate_in_DE_top10,SAFE_DEPLOYABLE,rank_DE <= 10,int64
candidate_in_HGB_top10,SAFE_DEPLOYABLE,rank_HGB <= 10,int64
candidate_in_attach_top10,SAFE_DEPLOYABLE,rank_attach <= 10,int64
candidate_logp,SAFE_DEPLOYABLE,candidate logP,float64
candidate_mw,SAFE_DEPLOYABLE,candidate molecular weight,float64
candidate_ring_count,METADATA,redundant with candidate_heavy_atoms,float64
candidate_smiles,METADATA,candidate SMILES string,object
candidate_tpsa,SAFE_DEPLOYABLE,candidate TPSA,float64
compatibility_flag,SUSPICIOUS_NEEDS_PROVENANCE,chemical compatibility flag — likely rule-based but source unconfirmed,int64
cont_prior_rank,SAFE_DEPLOYABLE,rank of cont_prior_score within query,float64
cont_prior_score,SAFE_DEPLOYABLE,"continuation prior: logP(c|old,att) from train counts",float64
delta_heavy_atoms,SAFE_DEPLOYABLE,candidate - old heavy atoms,float64
delta_hetero_count,SAFE_DEPLOYABLE,candidate - old hetero count,float64
delta_logp,SAFE_DEPLOYABLE,candidate - old logP,float64
delta_mw,SAFE_DEPLOYABLE,candidate - old molecular weight,float64
delta_ring_count,SAFE_DEPLOYABLE,candidate - old ring count,float64
